State & Year,State,Year,Total_Population,Population Less Than 18,White,Black,Native,Asian,Hispanic,Others,Annual median household income,Mother Participation in Labor Force,Percentage of married-couple households with children under 18,Public_Enrollment,Public_rate,Public_Estimate,Private_Enrollment,Private_rate,Private_Estimate,Private/Public_ratio,Buddhist,Catholic,Evangelical Protestant,Hindu,Historically Black Protestant,Jehovah's Witness,Jewish,Mainline Protestant,Mormon,Muslim,Orthodox Christian,Other Christian,Other Faiths,Other World Religions,Unaffiliated (religious "nones"),Don't know,Sample size,Number Hospitals,Staffed Beds,Total Discharges,Patient Days,Gross Patient Revenue ($000)
"Alabama, 2011",Alabama,2011,4799642,1123953,66.89%,26.13%,0.59%,1.17%,3.94%,1.28%,41415,68.3%,63.88%,744621,0.662501902,744621,81070,0.072129351,81070,0.108874179,,,,,,,,,,,,,,,,,,,,,,
"Alabama, 2012",Alabama,2012,4816632,1116969,66.69%,26.22%,0.59%,1.24%,3.94%,1.33%,41574,67.3%,64.38%,744637,0.666658609,744637,,0.070470659,78713.54118,0.105707266,,,,,,,,,,,,,,,,,,,,,,
"Alabama, 2013",Alabama,2013,4831586,1110272,66.47%,26.32%,0.59%,1.28%,3.98%,1.37%,42849,69.9%,62.01%,746204,0.672091163,746204,76400,0.068811967,76400,0.102384871,,,,,,,,,,,,,,,,,,,,,,
"Alabama, 2014",Alabama,2014,4843737,1106217,66.28%,26.38%,0.60%,1.32%,4.01%,1.41%,42830,66.7%,62.96%,744164,0.672710689,744164,,0.068430997,75699.53223,0.10172426,< 1%,0.07,0.49,< 1%,0.16,< 1%,< 1%,0.13,0.01,< 1%,< 1%,< 1%,0.01,< 1%,0.12,0.01,511,,,,,
"Alabama, 2015",Alabama,2015,4854803,1103159,66.05%,26.46%,0.60%,1.36%,4.08%,1.45%,44765,72.4%,62.96%,743789,0.674235536,743789,75070,0.068050027,75070,0.100929161,,,,,,,,,,,,,,,,,,,,,,
"Alabama, 2016",Alabama,2016,4866824,1100461,65.84%,26.48%,0.60%,1.41%,4.18%,1.49%,46257,72.8%,64.20%,744930,0.676925398,744930,,0.066325527,72988.65571,0.097980556,,,,,,,,,,,,,,,,,,,,,,
"Alabama, 2017",Alabama,2017,4877989,1096577,65.64%,26.50%,0.60%,1.44%,4.28%,1.54%,48123,67.8%,62.81%,742444,0.677055966,742444,70840,0.064601027,70840,0.095414604,,,,,,,,,,,,,,,,,,,,,,
"Alabama, 2018",Alabama,2018,4891628,1092599,65.44%,26.51%,0.60%,1.46%,4.40%,1.58%,49861,74.0%,65.14%,739716,0.677024233,739716,,0.064601027,70583.01712,0.095419076,,,,,,,,,,,,,,,,,,,,,,
"Alabama, 2019",Alabama,2019,4907965,1088727,65.30%,26.49%,0.60%,1.48%,4.50%,1.62%,51734,70.9%,64.61%,744235,0.683582753,744235,,0.064601027,70332.88194,0.094503594,,,,,,,,,,,,,,,,,,,,,,
"Alabama, 2020",Alabama,2020,4921532,1129672,65.14%,26.49%,0.61%,1.49%,4.60%,1.66%,,,,734559,0.650240955,734559,,0.064601027,72977.97098,0.099349366,,,,,,,,,,,,,,,,,,,,,,
"Alabama, 2021",Alabama,2021,,1128005,64.67%,26.72%,1.26%,1.86%,5.49%,,53913,69.6%,64.21%,748274,0.663360535,748274,,0.064601027,72870.28107,0.097384489,,,,,,,,,,,,,,,,,,,,,,
"Alabama, 2022",Alabama,2022,,1128550,64.51%,26.68%,1.28%,1.90%,5.63%,,59674,72.3%,65.62%,750923,0.665387444,750923,,0.064601027,72905.48863,0.097087835,,,,,,,,,,,,,,,,,,,,,,
"Alabama, 2023",Alabama,2023,,1130840,64.37%,26.61%,1.29%,1.94%,5.79%,,,,63.61%,,0.665387444,752446.7372,,0.064601027,73053.42498,0.097087835,,,,,,,,,,,,,,,,,,,,,,
"Alabama, 2024",Alabama,2024,,,,,,,,,,,,,0.665387444,,,0.064601027,,,,,,,,,,,,,,,,,,,,91,14875,526280,2838567,77884698
"Alaska, 1990",Alaska,1990,553120,177502,73.90%,3.97%,15.43%,3.44%,3.25%,,,58.3%,,113903,0.641699812,113903,,0.027068958,4804.794189,0.04218321,,,,,,,,,,,,,,,,,,,,,,
"Alaska, 1991",Alaska,1991,569273,182180,74.01%,3.87%,15.34%,3.51%,3.28%,,,,,,0.670654486,122179.8342,,0.027068958,4931.422775,0.040362003,,,,,,,,,,,,,,,,,,,,,,
"Alaska, 1992",Alaska,1992,587073,184878,73.86%,3.98%,15.22%,3.61%,3.33%,,,,,,0.670654486,123989.26,,0.027068958,5004.454824,0.040362003,,,,,,,,,,,,,,,,,,,,,,
"Alaska, 1993",Alaska,1993,596993,187190,73.57%,4.15%,15.20%,3.72%,3.35%,,45278,,,,0.670654486,125539.8132,,0.027068958,5067.038255,0.040362003,,,,,,,,,,,,,,,,,,,,,,
"Alaska, 1994",Alaska,1994,600624,187439,73.39%,3.97%,15.35%,3.83%,3.46%,,46653,,,,0.670654486,125706.8062,,0.027068958,5073.778425,0.040362003,,,,,,,,,,,,,,,,,,,,,,
"Alaska, 1995",Alaska,1995,601345,184990,73.34%,3.71%,15.46%,3.93%,3.56%,,47954,,,,0.670654486,124064.3733,,0.027068958,5007.486547,0.040362003,,,,,,,,,,,,,,,,,,,,,,
"Alaska, 1996",Alaska,1996,604918,185360,73.05%,3.57%,15.67%,4.06%,3.65%,,50060,,,,0.670654486,124312.5155,,0.027068958,5017.502061,0.040362003,,,,,,,,,,,,,,,,,,,,,,
"Alaska, 1997",Alaska,1997,608846,188280,72.59%,3.61%,15.82%,4.18%,3.80%,,50829,,,,0.670654486,126270.8266,,0.027068958,5096.543419,0.040362003,,,,,,,,,,,,,,,,,,,,,,
"Alaska, 1998",Alaska,1998,615205,192636,72.30%,3.64%,15.99%,4.22%,3.86%,,51421,,,,0.670654486,129192.1975,,0.027068958,5214.4558,0.040362003,,,,,,,,,,,,,,,,,,,,,,
"Alaska, 1999",Alaska,1999,619500,191422,71.95%,3.62%,16.13%,4.30%,4.00%,,51046,,,,0.670654486,128378.023,,0.027068958,5181.594085,0.040362003,,,,,,,,,,,,,,,,,,,,,,
"Alaska, 2000",Alaska,2000,627963,190615,67.90%,3.38%,16.68%,4.06%,4.13%,4.55%,50746,,,133356,0.69960916,133356,,0.027068958,5159.749436,0.038691543,,,,,,,,,,,,,,,,,,,,,,
"Alaska, 2001",Alaska,2001,633714,188771,67.42%,3.40%,16.63%,4.19%,4.42%,4.68%,57363,,,,0.697469444,131662.0045,,0.027068958,5109.834277,0.038810242,,,,,,,,,,,,,,,,,,,,,,
"Alaska, 2002",Alaska,2002,642337,188482,66.98%,3.43%,16.57%,4.32%,4.66%,4.81%,55412,,,,0.696399586,131258.7868,,0.027068958,5102.011348,0.038869865,,,,,,,,,,,,,,,,,,,,,,
"Alaska, 2003",Alaska,2003,648414,186843,66.56%,3.36%,16.59%,4.48%,4.85%,4.96%,55143,,,,0.695864657,130017.4402,,0.027068958,5057.645326,0.038899745,,,,,,,,,,,,,,,,,,,,,,
"Alaska, 2004",Alaska,2004,659286,186335,66.24%,3.32%,16.54%,4.58%,4.99%,5.16%,59901.6497,,,,0.695597193,129614.103,,0.027068958,5043.894295,0.038914703,,,,,,,,,,,,,,,,,,,,,,
"Alaska, 2005",Alaska,2005,666946,185304,65.86%,3.24%,16.57%,4.71%,5.16%,5.32%,59901.6497,,,,0.695463461,128872.1611,,0.027068958,5015.9862,0.038922186,,,,,,,,,,,,,,,,,,,,,,
"Alaska, 2006",Alaska,2006,675302,185580,65.60%,3.18%,16.52%,4.78%,5.26%,5.53%,60505.7552,,,,0.695396595,129051.7,,0.027068958,5023.457232,0.038925928,,,,,,,,,,,,,,,,,,,,,,
"Alaska, 2007",Alaska,2007,680300,184344,65.30%,3.18%,16.49%,4.87%,5.33%,5.71%,60124.18261,,,,0.695363162,128186.0267,4990,0.027068958,4990,0.0389278,,,,,,,,,,,,,,,,,,,,,,
"Alaska, 2008",Alaska,2008,687455,183124,64.94%,3.17%,16.47%,5.00%,5.42%,5.89%,63216.738,,,,0.695346445,127334.6224,,0.033684626,6168.463412,0.04844294,,,,,,,,,,,,,,,,,,,,,,
"Alaska, 2009",Alaska,2009,698895,186351,64.48%,3.11%,16.50%,5.24%,5.47%,6.10%,63505.10997,,,,0.695338087,129576.9478,7510,0.040300294,7510,0.05795784,,,,,,,,,,,,,,,,,,,,,,
"Alaska, 2010",Alaska,2010,713982,188022,64.18%,3.12%,16.41%,5.33%,5.58%,6.29%,64576,64.0%,68.79%,,0.695333908,130738.072,,0.033853497,6365.202225,0.048686677,,,,,,,,,,,,,,,,,,,,,,
"Alaska, 2011",Alaska,2011,722349,188640,63.64%,3.17%,15.51%,5.46%,5.83%,6.39%,67825,67.4%,65.86%,131167,0.695329729,131167,5170,0.027406701,5170,0.039415402,,,,,,,,,,,,,,,,,,,,,,
"Alaska, 2012",Alaska,2012,730810,188497,63.03%,3.26%,15.53%,5.59%,6.17%,6.41%,67712,64.6%,66.46%,131489,0.697565478,131489,,0.027179796,5123.30995,0.038963791,,,,,,,,,,,,,,,,,,,,,,
"Alaska, 2013",Alaska,2013,737626,188477,62.44%,3.30%,15.57%,5.77%,6.45%,6.47%,72237,66.5%,71.31%,130944,0.6947479,130944,5080,0.026952891,5080,0.03879521,,,,,,,,,,,,,,,,,,,,,,
"Alaska, 2014",Alaska,2014,737075,186992,61.99%,3.27%,15.67%,5.86%,6.66%,6.55%,71583,62.9%,69.20%,131176,0.701505947,131176,,0.028339592,5299.276945,0.04039822,0.01,0.16,0.22,< 1%,0.03,< 1%,< 1%,0.12,0.05,< 1%,0.05,< 1%,0.04,0.01,0.31,0.01,310,,,,,
"Alaska, 2015",Alaska,2015,738430,186367,61.58%,3.24%,15.76%,5.98%,6.82%,6.62%,73355,68.4%,65.01%,132477,0.710839365,132477,5540,0.029726293,5540,0.04181858,,,,,,,,,,,,,,,,,,,,,,
"Alaska, 2016",Alaska,2016,742575,187143,61.09%,3.29%,15.81%,6.15%,6.98%,6.70%,76440,75.7%,69.46%,132737,0.709281138,132737,,0.026896808,5033.5494,0.037921223,,,,,,,,,,,,,,,,,,,,,,
"Alaska, 2017",Alaska,2017,740983,185729,60.47%,3.31%,15.94%,6.34%,7.15%,6.78%,73181,63.7%,69.13%,132872,0.715407933,132872,4470,0.024067324,4470,0.033641399,,,,,,,,,,,,,,,,,,,,,,
"Alaska, 2018",Alaska,2018,736624,183189,60.13%,3.32%,16.10%,6.35%,7.25%,6.87%,74346,68.3%,72.25%,130963,0.714906463,130963,,0.024067324,4408.868997,0.033664997,,,,,,,,,,,,,,,,,,,,,,
"Alaska, 2019",Alaska,2019,733603,180442,59.85%,3.27%,16.21%,6.40%,7.31%,6.96%,75463,62.8%,71.25%,132017,0.731631217,132017,,0.024067324,4342.756059,0.032895431,,,,,,,,,,,,,,,,,,,,,,
"Alaska, 2020",Alaska,2020,731158,180220,59.64%,3.23%,16.30%,6.45%,7.32%,7.06%,,,,129872,0.720630341,129872,,0.024067324,4337.413113,0.0333976,,,,,,,,,,,,,,,,,,,,,,
"Alaska, 2021",Alaska,2021,,178917,60.57%,4.46%,19.71%,7.89%,7.36%,,77845,66.0%,70.42%,129944,0.726280901,129944,,0.024067324,4306.05339,0.033137762,,,,,,,,,,,,,,,,,,,,,,
"Alaska, 2022",Alaska,2022,,177337,60.32%,4.48%,19.66%,7.96%,7.59%,,88121,66.1%,66.49%,130723,0.737144533,130723,,0.024067324,4268.027018,0.032649396,,,,,,,,,,,,,,,,,,,,,,
"Alaska, 2023",Alaska,2023,,175507,60.09%,4.49%,19.62%,8.05%,7.76%,,,,70.55%,,0.737144533,129374.0255,,0.024067324,4223.983815,0.032649396,,,,,,,,,,,,,,,,,,,,,,
"Alaska, 2024",Alaska,2024,,,,,,,,,,,,,0.737144533,,,0.024067324,,,,,,,,,,,,,,,,,,,,11,1270,45161,267263,7514535
"Arizona, 1990",Arizona,1990,3679056,1006040,71.60%,2.88%,5.20%,1.42%,18.90%,,,58.3%,,639853,0.636011491,639853,,0.040369551,40613.38359,0.063472991,,,,,,,,,,,,,,,,,,,,,,
"Arizona, 1991",Arizona,1991,3762394,1028285,71.11%,2.91%,5.22%,1.48%,19.28%,,,,,,0.637536491,655569.211,,0.040369551,41511.40426,0.063321162,,,,,,,,,,,,,,,,,,,,,,
"Arizona, 1992",Arizona,1992,3867333,1055572,70.61%,2.92%,5.20%,1.52%,19.76%,,,,,,0.638298992,673770.5432,,0.040369551,42612.96821,0.06324552,,,,,,,,,,,,,,,,,,,,,,
"Arizona, 1993",Arizona,1993,3993390,1094233,70.13%,2.90%,5.18%,1.59%,20.19%,,32178,,,,0.638680242,698864.9971,,0.040369551,44173.69544,0.063207766,,,,,,,,,,,,,,,,,,,,,,
"Arizona, 1994",Arizona,1994,4147561,1119857,69.85%,2.94%,5.10%,1.64%,20.47%,,32180,,,,0.638870867,715444.0124,,0.040369551,45208.12483,0.063188907,,,,,,,,,,,,,,,,,,,,,,
"Arizona, 1995",Arizona,1995,4306908,1173391,69.42%,2.97%,5.07%,1.69%,20.85%,,30863,,,,0.638966179,749757.1643,,0.040369551,47369.2684,0.063179481,,,,,,,,,,,,,,,,,,,,,,
"Arizona, 1996",Arizona,1996,4432308,1215285,68.96%,3.00%,5.01%,1.75%,21.28%,,32180,,,,0.639013836,776583.9294,,0.040369551,49060.51039,0.063174769,,,,,,,,,,,,,,,,,,,,,,
"Arizona, 1997",Arizona,1997,4552207,1237159,68.54%,3.02%,4.96%,1.79%,21.70%,,32535,,,,0.639037664,790591.1972,,0.040369551,49943.55396,0.063172413,,,,,,,,,,,,,,,,,,,,,,
"Arizona, 1998",Arizona,1998,4667277,1285794,68.06%,3.04%,4.88%,1.81%,22.21%,,34402,,,,0.639049578,821686.113,,0.040369551,51906.92709,0.063171236,,,,,,,,,,,,,,,,,,,,,,
"Arizona, 1999",Arizona,1999,4778332,1332396,67.58%,3.06%,4.82%,1.85%,22.69%,,36337,,,,0.639055535,851475.0386,,0.040369551,53788.22893,0.063170647,,,,,,,,,,,,,,,,,,,,,,
"Arizona, 2000",Arizona,2000,5160586,1373414,64.02%,2.96%,6.31%,1.80%,25.37%,1.14%,41456,,,877696,0.639061492,877696,,0.040369551,55444.1072,0.063170058,,,,,,,,,,,,,,,,,,,,,,
"Arizona, 2001",Arizona,2001,5273477,1399015,63.36%,3.01%,6.25%,1.88%,25.92%,1.19%,42704,,,,0.653727682,914574.8331,,0.040369551,56477.60808,0.061752856,,,,,,,,,,,,,,,,,,,,,,
"Arizona, 2002",Arizona,2002,5396255,1427938,62.71%,3.07%,6.22%,1.96%,26.43%,1.24%,41554,,,,0.661060777,943953.8039,,0.040369551,57645.21662,0.061067837,,,,,,,,,,,,,,,,,,,,,,
"Arizona, 2003",Arizona,2003,5510364,1453671,62.13%,3.11%,6.20%,2.04%,26.87%,1.30%,42062,,,,0.664727325,966294.8347,,0.040369551,58684.04629,0.060730994,,,,,,,,,,,,,,,,,,,,,,
"Arizona, 2004",Arizona,2004,5652404,1484454,61.59%,3.19%,6.14%,2.13%,27.26%,1.36%,48091.75658,,,,0.666560598,989478.5465,,0.040369551,59926.74219,0.060563963,,,,,,,,,,,,,,,,,,,,,,
"Arizona, 2005",Arizona,2005,5839077,1529168,60.93%,3.28%,6.09%,2.25%,27.72%,1.42%,48091.75658,,,,0.667477235,1020684.829,,0.040369551,61731.82632,0.060480791,,,,,,,,,,,,,,,,,,,,,,
"Arizona, 2006",Arizona,2006,6029141,1574867,60.15%,3.40%,6.05%,2.40%,28.23%,1.48%,47597.80132,,,,0.667935554,1051909.662,,0.040369551,63576.67445,0.060439291,,,,,,,,,,,,,,,,,,,,,,
"Arizona, 2007",Arizona,2007,6167681,1607895,59.38%,3.51%,6.03%,2.51%,28.76%,1.54%,47749.89155,,,,0.668164713,1074338.701,64910,0.040369551,64910,0.060418563,,,,,,,,,,,,,,,,,,,,,,
"Arizona, 2008",Arizona,2008,6280362,1628651,58.76%,3.63%,6.02%,2.59%,29.15%,1.60%,48589.12164,,,,0.668279293,1088393.738,,0.037203315,60591.21545,0.055670309,,,,,,,,,,,,,,,,,,,,,,
"Arizona, 2009",Arizona,2009,6343154,1627343,58.29%,3.73%,6.00%,2.66%,29.43%,1.66%,47106.02057,,,,0.668336582,1087612.859,55390,0.034037078,55390,0.050928048,,,,,,,,,,,,,,,,,,,,,,
"Arizona, 2010",Arizona,2010,6407342,1626439,57.84%,3.77%,6.00%,2.70%,29.76%,1.71%,46789,62.2%,64.84%,,0.668365227,1087055.272,,0.033451223,54406.37412,0.050049317,,,,,,,,,,,,,,,,,,,,,,
"Arizona, 2011",Arizona,2011,6473416,1616291,57.44%,3.84%,4.22%,2.82%,29.91%,1.77%,46709,62.5%,63.53%,1080319,0.668393872,1080319,53120,0.032865369,53120,0.049170662,,,,,,,,,,,,,,,,,,,,,,
"Arizona, 2012",Arizona,2012,6556344,1617269,57.01%,3.91%,4.23%,2.92%,30.11%,1.82%,47826,64.0%,63.62%,1089384,0.673594807,1089384,,0.033442408,54085.36947,0.049647663,,,,,,,,,,,,,,,,,,,,,,
"Arizona, 2013",Arizona,2013,6634690,1618780,56.56%,3.97%,4.23%,3.03%,30.34%,1.87%,48510,60.4%,64.00%,1102445,0.681034483,1102445,55070,0.034019447,55070,0.049952605,,,,,,,,,,,,,,,,,,,,,,
"Arizona, 2014",Arizona,2014,6732873,1624658,56.12%,4.05%,4.22%,3.14%,30.57%,1.91%,50068,61.4%,65.24%,1111695,0.684264011,1111695,,0.034377258,55851.28715,0.050239757,0.01,0.21,0.26,0.01,0.01,0.01,0.02,0.12,0.05,0.01,< 1%,< 1%,0.02,< 1%,0.27,< 1%,653,,,,,
"Arizona, 2015",Arizona,2015,6832810,1629765,55.66%,4.14%,4.19%,3.21%,30.85%,1.95%,51492,68.7%,64.07%,1109040,0.680490746,1109040,56610,0.034735069,56610,0.051044146,,,,,,,,,,,,,,,,,,,,,,
"Arizona, 2016",Arizona,2016,6944767,1636369,55.22%,4.24%,4.17%,3.32%,31.06%,1.99%,53558,67.9%,65.55%,1123137,0.68635925,1123137,,0.034698081,56778.86443,0.050553819,,,,,,,,,,,,,,,,,,,,,,
"Arizona, 2017",Arizona,2017,7048088,1638725,54.82%,4.32%,4.14%,3.37%,31.32%,2.03%,56581,69.6%,65.64%,1110851,0.677875177,1110851,56800,0.034661093,56800,0.05113197,,,,,,,,,,,,,,,,,,,,,,
"Arizona, 2018",Arizona,2018,7164228,1638657,54.47%,4.41%,4.12%,3.40%,31.53%,2.08%,59246,66.8%,65.68%,1141511,0.696613751,1141511,,0.034661093,56797.64305,0.049756545,,,,,,,,,,,,,,,,,,,,,,
"Arizona, 2019",Arizona,2019,7291843,1641727,54.12%,4.49%,4.08%,3.45%,31.72%,2.13%,62055,70.0%,66.59%,1152586,0.702057041,1152586,,0.034661093,56904.0526,0.049370765,,,,,,,,,,,,,,,,,,,,,,
"Arizona, 2020",Arizona,2020,7421401,1600080,53.81%,4.57%,4.04%,3.50%,31.89%,2.18%,,,,1111500,0.694652767,1111500,,0.034661093,55460.52205,0.049897006,,,,,,,,,,,,,,,,,,,,,,
"Arizona, 2021",Arizona,2021,,1597685,54.58%,5.54%,4.66%,4.36%,30.86%,,69056,69.6%,66.17%,1133284,0.70932881,1133284,,0.034661093,55377.50873,0.048864635,,,,,,,,,,,,,,,,,,,,,,
"Arizona, 2022",Arizona,2022,,1594638,54.10%,5.66%,4.62%,4.47%,31.15%,,74568,66.4%,65.91%,1132223,0.710018826,1132223,,0.034661093,55271.89638,0.048817147,,,,,,,,,,,,,,,,,,,,,,
"Arizona, 2023",Arizona,2023,,1583034,53.61%,5.74%,4.60%,4.59%,31.46%,,,,66.90%,,0.710018826,1123983.942,,0.034661093,54869.68906,0.048817147,,,,,,,,,,,,,,,,,,,,,,
"Arizona, 2024",Arizona,2024,,,,,,,,,,,,,0.710018826,,,0.034661093,,,,,,,,,,,,,,,,,,,,83,13846,596784,2892568,103653384
"Arkansas, 1990",Arkansas,1990,2354343,620933,82.22%,15.88%,0.53%,0.52%,0.85%,,,63.3%,,436286,0.702629752,436286,,0.05709106,35449.72295,0.081253405,,,,,,,,,,,,,,,,,,,,,,
"Arkansas, 1991",Arkansas,1991,2370666,626212,82.13%,15.91%,0.52%,0.53%,0.91%,,,,,,0.681983269,427066.107,,0.05709106,35751.10666,0.083713285,,,,,,,,,,,,,,,,,,,,,,
"Arkansas, 1992",Arkansas,1992,2394098,638269,82.01%,15.96%,0.52%,0.54%,0.96%,,,,,,0.671660028,428699.7743,,0.05709106,36439.45357,0.084999936,,,,,,,,,,,,,,,,,,,,,,
"Arkansas, 1993",Arkansas,1993,2423743,643474,81.87%,15.99%,0.51%,0.57%,1.07%,,24299,,,,0.666498407,428874.396,,0.05709106,36736.61253,0.085658209,,,,,,,,,,,,,,,,,,,,,,
"Arkansas, 1994",Arkansas,1994,2450605,653842,81.79%,15.94%,0.49%,0.59%,1.19%,,26290,,,,0.663917597,434097.2093,,0.05709106,37328.53264,0.085991183,,,,,,,,,,,,,,,,,,,,,,
"Arkansas, 1995",Arkansas,1995,2480121,667671,81.58%,15.91%,0.49%,0.62%,1.39%,,25814,,,,0.662627192,442416.9596,,0.05709106,38118.0449,0.086158643,,,,,,,,,,,,,,,,,,,,,,
"Arkansas, 1996",Arkansas,1996,2504858,677912,81.27%,15.95%,0.49%,0.64%,1.64%,,26922,,,,0.661981989,448765.5341,,0.05709106,38702.71444,0.086242618,,,,,,,,,,,,,,,,,,,,,,
"Arkansas, 1997",Arkansas,1997,2524007,680203,81.09%,15.96%,0.50%,0.67%,1.78%,,27031,,,,0.661659388,450062.7004,,0.05709106,38833.51006,0.086284667,,,,,,,,,,,,,,,,,,,,,,
"Arkansas, 1998",Arkansas,1998,2538202,683637,80.90%,15.97%,0.50%,0.67%,1.95%,,27471,,,,0.661498087,452224.5677,,0.05709106,39029.56076,0.086305706,,,,,,,,,,,,,,,,,,,,,,
"Arkansas, 1999",Arkansas,1999,2551373,681940,80.74%,15.97%,0.50%,0.68%,2.11%,,28398,,,,0.661417437,451047.0067,,0.05709106,38932.67723,0.08631623,,,,,,,,,,,,,,,,,,,,,,
